feature,importance
age_transfer_interaction,11.162227653703411
transfer_intensity,10.828922208627647
이식된 배아 수,8.241981523053207
실제이식여부,6.778758086891222
이식배아수_구간,4.3190009467670665
frozen_day_interaction,3.732231726677435
egg_sperm_combo,3.405449224835076
배아이식일_있음,2.903988837752772
배아 이식 경과일,2.7434138393943464
배아_잉여율,2.733903424488555
수집된 신선 난자 수,2.7103810051229247
저장된 배아 수,2.348810702022261
ivf_storage_ratio,2.0354770626842247
난자 출처,1.7999226185474166
시술 당시 나이_num,1.5034957798187045
복합위험도점수,1.3437751509609317
age_x_single_transfer,1.3147803304054204
transfer_day_cat,1.2763507022612341
나이_제곱,1.2621766137858657
embryo_day_interaction,1.1932720567726285
난자대비이식배아수,1.11454128320406
시술 시기 코드,1.110733302791716
총 생성 배아 수,1.0658736852389583
total_embryo_ratio,1.0057464117796313
배아 생성 주요 이유,0.9225719012197264
배아저장비율,0.8592387785445867
fresh_transfer_ratio,0.8530283569254296
배아생성효율,0.8338044990178027
시술 당시 나이,0.8101986398934761
배란 유도 유형,0.7498388374487163
blastocyst_signal,0.708530226407811
age_x_day5plus,0.6223565687533317
초고령_여부,0.5935095113917309
극고령_여부,0.5457268773613664
thaw_to_transfer_ratio,0.5270261409286622
ivf_transfer_ratio,0.48419706802010204
수정_성공률,0.4716173413228051
배아_이용률,0.46925585594212965
미세주입된 난자 수,0.4482947614680345
불임 원인 - 남성 요인,0.40632946908632317
배란 자극 여부,0.38169256656574163
클리닉집중도,0.37008320413002477
혼합된 난자 수,0.3614884339684543
불임 원인 - 난관 질환,0.34893171138105517
단일 배아 이식 여부,0.34488681631328094
ICSI수정효율,0.3348521284414881
특정 시술 유형,0.3323153289734182
micro_transfer_quality,0.3301117793276977
나이_임상구간,0.3184889309668823
난자 기증자 나이,0.3096391113068243
나이XIVF실패,0.30943924717403337
정자 출처,0.306788039351921
frozen_x_stored,0.27293421381104094
배아이식비율,0.2668079345845113
클리닉 내 총 시술 횟수,0.2605248168893901
IVF시술비율,0.2574535552399672
정자 기증자 나이_num,0.23796369105494306
fresh_x_day5plus,0.23781187562287553
난자 기증자 나이_num,0.22685527068918396
난자활용률,0.21676678119311157
day5plus,0.21174251258338792
IVF임신률,0.1885021065531794
클리닉 내 총 시술 횟수_num,0.18002918692246306
age_fail_severity,0.1794504886702107
나이XIVF임신률,0.17925006204833233
전체임신률,0.17683337621821818
transfer_day_optimal,0.17100993115805874
IVF 시술 횟수,0.16545592109798934
출산경험있음,0.159103499088652
나이X총시술,0.15841366292766115
미세주입에서 생성된 배아 수,0.14610022506561193
총 시술 횟수,0.14345269796522875
donor_egg_x_advanced_age,0.14281825263090983
IVF실패횟수,0.14092627771495364
파트너 정자와 혼합된 난자 수,0.13050635304785976
임신유지율,0.12318113945493657
정자 기증자 나이,0.1158744988462407
임신 시도 또는 마지막 임신 경과 연수,0.11399399902732532
IVF 시술 횟수_num,0.11317953578377003
PGS 시술 여부,0.11168692822923637
미세주입 배아 이식 수,0.10692759152063232
불임 원인 - 배란 장애,0.10631991559901678
해동된 배아 수,0.10211649289716673
DI 시술 횟수,0.10097401893673326
저장된 신선 난자 수,0.0990914252858137
고령_여부,0.09205488716696074
IVF 출산 횟수_num,0.08998339743801599
frozen_x_age,0.08653603065564737
착상 전 유전 검사 사용 여부,0.08085517861637805
총실패횟수,0.07711861848290819
난자 혼합 경과일,0.07559298587214933
총 출산 횟수_num,0.07556602977505773
IVF 임신 횟수_num,0.07261609427285129
총 시술 횟수_num,0.07080396659808211
infertility_count,0.07049409420642463
IVF 출산 횟수,0.06985725002508326
임신경험있음,0.06682642532975122
총 출산 횟수,0.06428554986032288
총 임신 횟수,0.05672814852423678
DI 시술 횟수_num,0.056699641874414085
총 임신 횟수_num,0.05596141677957209
배아 해동 경과일,0.054806666638542376
IVF임신유지율,0.05469314053679762
불명확 불임 원인,0.05322135759153751
frozen_x_clinic_exp,0.04759113879938366
시술 유형,0.04711704418155855
IVF 임신 횟수,0.043662379751577884
불임 원인 - 자궁내막증,0.04294322937941756
first_treatment,0.04277071992315599
DI 임신 횟수,0.0421852968567855
multi_x_day5plus,0.04132542850477954
미세주입 후 저장된 배아 수,0.04127621344074186
PGD 시술 여부,0.040221034321419026
has_infertility,0.0358207958797648
기증자 정자와 혼합된 난자 수,0.0345120791548282
해동 난자 수,0.034016999134961076
DI 출산 횟수,0.032117733836273206
대리모 여부,0.02966753411809775
is_frozen_transfer,0.027812783403420877
DI 임신 횟수_num,0.026261686189364534
is_di,0.02528678326095697
동결 배아 사용 여부,0.02332283204687089
부부 부 불임 원인,0.020117743489005954
임신경과연수_있음,0.019543126493057544
부부 주 불임 원인,0.01761008497736701
single_x_day5plus,0.01689364306418425
여성 부 불임 원인,0.016346124651095837
남성 주 불임 원인,0.011232981520313684
남성 부 불임 원인,0.011150216615556988
배아해동일_있음,0.01072032404151564
착상 전 유전 진단 사용 여부,0.01022282611960145
여성 주 불임 원인,0.009936666744475438
DI임신률,0.008692874042804038
DI 출산 횟수_num,0.008658012043734804
기증 배아 사용 여부,0.006096255997474477
반복IVF실패_여부,0.005855866729218751
초고령X반복실패,0.0055546597396341066
is_ivf,0.002596632618806642
불임 원인 - 정자 운동성,0.0013892766065440616
불임 원인 - 정자 농도,0.0012555444992457384
신선 배아 사용 여부,0.0
불임 원인 - 자궁경부 문제,0.0
