feature,importance
effective_oocyte_age,5.741602910597026
advanced_oocyte_age_flag,5.129090976084939
advanced_age_autologous_flag,3.484864551265775
transfer_intensity,2.964829326057325
시술 당시 나이,2.766773193442196
transfer_day_cat,2.30236961288558
배아 이식 경과일,2.2706374154311613
embryo_day_interaction,2.186737959259534
저장된 배아 수,1.9107807046729222
시술 당시 나이_num,1.8341531234378436
freeze_to_transfer_ratio_domain,1.7956609946453497
나이_제곱,1.6651118398532074
age_transfer_interaction,1.5307384633219754
복합위험도점수,1.5300076227349377
이식배아수_구간,1.5156498729976013
ivf_storage_ratio,1.5124521491974794
배아_잉여율,1.4970304552250202
transferable_rate,1.4000713517682897
same_or_early_transfer_like,1.3877089680300536
배아저장비율,1.3284906014875308
age_x_single_transfer,1.2859756006520777
age_x_day5plus,1.2110921412023552
나이_임상구간,1.1729957785374348
micro_transfer_quality,1.1339123568467209
배란 유도 유형,1.1243910695146675
배아이식비율,1.1013788897199583
배아_이용률,1.0946272011107345
transferable_embryos,1.0927056509623714
총 생성 배아 수,1.0849280232283003
클리닉 내 총 시술 횟수,1.0794726491151545
total_embryo_ratio,1.0335381320006622
embryo_transfer_days_x_age,1.0247616941478113
난자대비이식배아수,1.0176825144325359
ivf_transfer_ratio,1.0113491784241808
시술 시기 코드,0.9583052667819645
fresh_transfer_ratio,0.8757952117446018
특정 시술 유형,0.849242944431255
fertilization_rate_all,0.8217068386052706
ICSI수정효율,0.7857461177492651
클리닉집중도,0.7659586674181799
수정_성공률,0.763724131252147
ivf_failure_x_effective_oocyte_age,0.7504066981950774
embryo_yield_per_retrieved,0.7103658299471752
insemination_rate_from_retrieved,0.7099574989171085
불임 원인 - 난관 질환,0.7017803559836971
thaw_to_transfer_ratio,0.6944779493196245
배아생성효율,0.6438138083759813
이식된 배아 수,0.622996742914819
extended_culture_flag_domain,0.6144748507584542
egg_sperm_combo,0.6113754909908117
retrieved_oocytes_total,0.5965413464924882
수집된 신선 난자 수,0.5755038772439066
female_factor_score,0.5682967217266297
thaw_survival_proxy,0.558179772445248
나이XIVF임신률,0.5574003776743749
나이XIVF실패,0.5544844868872153
난자 기증자 나이,0.5544570948596813
IVF 시술 횟수,0.5470350235676993
male_factor_score,0.5261107914720216
혼합된 난자 수,0.5164110941767068
파트너 정자와 혼합된 난자 수,0.509663625584867
미세주입된 난자 수,0.5069130502155915
나이X총시술,0.5049014783730084
불임 원인 - 남성 요인,0.4913298187785857
총 시술 횟수,0.4839741156090147
repeat_failure_x_transferable,0.4789626530535841
day5plus,0.4787670647656457
극고령_여부,0.4761120761778135
불임 원인 - 배란 장애,0.4713366825420394
난자활용률,0.47019278967943234
클리닉 내 총 시술 횟수_num,0.4685145827243353
IVF임신률,0.446934491059079
fresh_x_day5plus,0.44077551872741677
IVF 임신 횟수,0.43929068336425325
총 임신 횟수,0.43346109230148233
정자 출처,0.43125961959413467
단일 배아 이식 여부,0.4248407815867578
정자 기증자 나이,0.420226780972058
IVF 출산 횟수,0.41613361739397964
배아 생성 주요 이유,0.41612644115876385
미세주입 배아 이식 수,0.4148627887289004
전체임신률,0.4037863885270861
총 출산 횟수,0.39801942041477645
임신유지율,0.39359667617771943
임신 시도 또는 마지막 임신 경과 연수,0.39197695543341904
IVF임신유지율,0.3893527003752911
IVF실패횟수,0.3839634965276961
IVF시술비율,0.37271306770539686
난자 기증자 나이_num,0.35666964826565756
미세주입에서 생성된 배아 수,0.35231019703452926
blastocyst_signal,0.34336375421957593
총실패횟수,0.3144917840465483
DI 시술 횟수,0.3124257456864248
